,account,externalSymbol,datetime,signed_quantity,maker,trade,maker_ratio
36,042WY7UCV,TYGH21,2021-03-15 09:00:00,-59,111,200,0.555
37,042WY7UCV,TYGH21,2021-03-15 09:30:00,-69,137,284,0.4823943661971831
38,042WY7UCV,TYGH21,2021-03-15 10:00:00,-54,96,185,0.518918918918919
39,042WY7UCV,TYGH21,2021-03-15 10:30:00,150,104,209,0.49760765550239233
40,042WY7UCV,TYGH21,2021-03-15 11:00:00,-58,56,126,0.4444444444444444
41,042WY7UCV,TYGH21,2021-03-15 11:30:00,10,99,178,0.5561797752808989
42,042WY7UCV,TYGH21,2021-03-15 12:00:00,-86,91,175,0.52
43,042WY7UCV,TYGH21,2021-03-15 12:30:00,-28,54,105,0.5142857142857142
44,042WY7UCV,TYGH21,2021-03-15 13:00:00,21,158,316,0.5
45,042WY7UCV,TYGH21,2021-03-15 13:30:00,-6,43,81,0.5308641975308642
46,042WY7UCV,TYGH21,2021-03-15 14:00:00,-50,90,188,0.4787234042553192
47,042WY7UCV,TYGH21,2021-03-15 14:30:00,-10,62,121,0.512396694214876
48,042WY7UCV,TYGH21,2021-03-15 15:00:00,-5,20,42,0.47619047619047616
49,1265MMDIKQ6M2QH,FYGH21,2021-03-15 06:00:00,1,1,2,0.5
50,1265MMDIKQ6M2QH,FYGH21,2021-03-15 06:30:00,-1,0,1,0.0
51,1265MMDIKQ6M2QH,FYGH21,2021-03-15 07:00:00,0,0,0,
52,1265MMDIKQ6M2QH,FYGH21,2021-03-15 07:30:00,5,11,17,0.6470588235294118
53,1265MMDIKQ6M2QH,FYGH21,2021-03-15 08:00:00,1,3,6,0.5
54,1265MMDIKQ6M2QH,FYGH21,2021-03-15 08:30:00,-1,1,6,0.16666666666666666
55,1265MMDIKQ6M2QH,FYGH21,2021-03-15 09:00:00,-8,4,8,0.5
56,1265MMDIKQ6M2QH,FYGH21,2021-03-15 09:30:00,12,14,22,0.6363636363636364
57,1265MMDIKQ6M2QH,FYGH21,2021-03-15 10:00:00,-13,7,14,0.5
58,1265MMDIKQ6M2QH,FYGH21,2021-03-15 10:30:00,-7,15,27,0.5555555555555556
59,1265MMDIKQ6M2QH,FYGH21,2021-03-15 11:00:00,-13,2,8,0.25
60,1265MMDIKQ6M2QH,FYGH21,2021-03-15 11:30:00,-16,17,33,0.5151515151515151
61,1265MMDIKQ6M2QH,FYGH21,2021-03-15 12:00:00,10,3,5,0.6
62,1265MMDIKQ6M2QH,FYGH21,2021-03-15 12:30:00,-17,22,41,0.5365853658536586
63,1265MMDIKQ6M2QH,FYGH21,2021-03-15 13:00:00,14,14,44,0.3181818181818182
