,account,num_trades,quantity,StdInventory,NetPosition,Unnamed: 0,ask_share,bid_share,BBO_share,both_share,mmlabel,hftlabel
662,082YGN,169.75,270.9375,0.06156110159782289,0.1089469674783402,394.0,0.0304513888888888,0.0304817708333333,0.0609331597222222,0.0,0,0
663,082YHMDJ,6.0,10.0,0.4979752344230966,0.6,395.0,0.0026909722222222,0.0027777777777777,0.00546875,0.0,0,0
664,082YII6TEULE,1.0,3.0,0.9820431383614244,1.0,,,,,,0,0
665,082YS5UV,2.3333333333333335,3.6666666666666665,0.4329737153755886,0.5666666666666667,,,,,,0,0
666,082YSW0PJUFT,3.25,3.75,0.5364229917943442,0.5666666666666667,396.0,0.0004774305555555,0.0002604166666666,0.0007378472222222,0.0,0,0
667,082Z2Z1N9RP,3.4285714285714284,5.285714285714286,0.41160602217436887,0.4225108225108225,,,,,,0,0
668,082Z3SDY,27.0,78.0,0.3874662514239135,0.5384615384615384,,,,,,0,0
669,082Z5ILJF,2.6666666666666665,6.333333333333333,0.521326965492055,0.7777777777777778,397.0,0.0010706018518518,0.0014467592592592,0.0025173611111111,0.0,0,0
670,082Z7RHHQZBZ,2.8,5.5,0.48600995408820546,0.7424242424242424,398.0,0.0006751543209876,0.0006655092592592,0.0013406635802469,0.0,0,0
671,082Z9I7AX0Z2JER,50.0,126.0,0.1402588825816708,0.1428571428571428,399.0,0.0005208333333333,0.0002604166666666,0.00078125,0.0,0,0
672,082ZJH8,138.9,264.95,0.04290492544722706,0.050351891391115754,400.0,0.0272773692810457,0.0273897058823529,0.0546670751633986,0.0,0,0
673,082ZKU11TCMKNF,1.0,1.5,0.622932758709779,1.0,,,,,,0,0
674,082ZNZXRTHW,6.0,22.0,0.6976810384403913,0.9090909090909092,401.0,0.0,8.680555555555556e-05,8.680555555555556e-05,0.0,0,0
675,082ZOG,69.5,103.0,0.08400474073710729,0.11292733977873015,402.0,0.0025607638888888,0.002734375,0.0052951388888888,0.0,0,0
676,082ZRMN3WF8HY4G,5.285714285714286,11.714285714285714,0.2978692878802797,0.34984212322922,403.0,4.340277777777778e-05,4.340277777777778e-05,8.680555555555556e-05,0.0,0,0
677,0900JAQI,1.0,1.6666666666666667,0.8702674442506457,1.0,404.0,8.680555555555556e-05,0.0001157407407407,0.0002025462962962,0.0,0,0
678,0900K7PFZ2TL0,1.75,2.25,0.7886003723456403,0.8333333333333333,405.0,0.0002604166666666,0.0001736111111111,0.0004340277777777,0.0,0,0
679,0900Q9XVUK7,14.0,757.0,0.3243179642125859,0.4821664464993395,,,,,,0,0
680,09047R8,1.0,2.0,0.7454415623288668,1.0,,,,,,0,0
681,0904LGJ0,3.0,6.4,0.40853300591195324,0.5733333333333334,,,,,,0,0
682,09066EI4I,11.285714285714286,204.71428571428572,0.2688408837949287,0.3727184080133491,406.0,4.340277777777778e-05,8.680555555555556e-05,0.0001302083333333,0.0,0,0
683,09066TJCL4,91.5,203.5,0.0338564410042492,0.04683803816432735,407.0,0.0269965277777777,0.0263020833333333,0.0532986111111111,0.0,0,0
684,09067VX0ZI4RMG1,69.09803921568627,217.34313725490196,0.3297536208293792,0.3806438811497645,408.0,0.001959043560606,0.0020616319444444,0.0040206755050505,0.0,0,0
685,09069SS92W,77.76470588235294,120.76470588235294,0.09106759989994245,0.1119964496502465,409.0,0.0266435185185185,0.0274074074074074,0.0540509259259259,0.0,0,0
