,account,ask_share,bid_share,BBO_share,both_share
996,300QG10KS0,8.680555555555556e-05,0.0,8.680555555555556e-05,0.0
997,300QHFMKXBS4CE,0.011698325163398693,0.011795343137254902,0.023488562091503268,5.106209150326797e-06
998,300R41LFBRMG,0.002864583333333333,0.0028211805555555555,0.005685763888888889,0.0
999,300RDRQR1XKH1B,0.000641025641025641,0.000594284188034188,0.001235309829059829,0.0
1000,300RMXY,0.00043402777777777775,0.0004557291666666667,0.0008897569444444444,0.0
1001,300S7GEK84O4JR,0.001345486111111111,0.0006944444444444445,0.0020399305555555557,0.0
1002,300SHA9,0.0023799189814814816,0.0025752314814814813,0.004955150462962963,0.0
1003,300SJJGD,0.0,8.680555555555556e-05,8.680555555555556e-05,0.0
1004,300SP2X,0.0036458333333333334,0.0038194444444444443,0.007465277777777778,0.0
1005,300T1QXOP0C,0.00015914351851851853,0.00014467592592592592,0.00030381944444444445,0.0
1006,300T2,0.0027083333333333334,0.0022395833333333334,0.0049479166666666664,0.0
1007,300TFXH6,0.00014467592592592592,0.0002025462962962963,0.00034722222222222224,0.0
1008,300TY,0.00013020833333333333,4.340277777777778e-05,0.00017361111111111112,0.0
1009,300U7K,0.00017361111111111112,8.680555555555556e-05,0.00026041666666666666,0.0
1010,300UM9,0.0022197420634920634,0.002418154761904762,0.004637896825396825,0.0
1011,300UR8WGKGQFWE,0.005915178571428571,0.005968915343915344,0.01142526455026455,0.0004588293650793651
1012,300V6YVJ3,0.00015190972222222222,0.00013020833333333333,0.00028211805555555553,0.0
1013,300VJWX47AUP6G,0.00028935185185185184,0.0005208333333333333,0.0008101851851851852,0.0
1014,300VO00WT,0.008967391304347826,0.008850392512077294,0.017764945652173913,5.283816425120773e-05
1015,300WEI81G76,0.0,0.00017361111111111112,0.00017361111111111112,0.0
1016,300X,0.015034054487179488,0.01515758547008547,0.030184962606837607,6.677350427350427e-06
1017,300XI,0.004108796296296296,0.004803240740740741,0.008912037037037038,0.0
1018,300XOBAU7T,0.00017361111111111112,8.680555555555556e-05,0.00026041666666666666,0.0
1019,300XR5KJF8KERYG,0.005327690972222222,0.004796006944444445,0.010123697916666667,0.0
1020,300XY820VK44YC,0.00017361111111111112,0.0,0.00017361111111111112,0.0
1021,300YH3WGMFK,0.0014467592592592592,0.0010416666666666667,0.002488425925925926,0.0
1022,300YMBMCIZ0,0.008810763888888889,0.008984375,0.017795138888888888,0.0
1023,300ZH,0.00078125,0.00017361111111111112,0.0009548611111111111,0.0
1024,300ZO1PO3S92KJI,8.680555555555556e-05,0.0,8.680555555555556e-05,0.0
1025,300ZW7E0YD0B,0.0009114583333333333,0.0006510416666666666,0.0015625,0.0
1026,317084F8CYJGI,0.02175925925925926,0.022077546296296297,0.04383680555555555,0.0
1027,317097ROF6FR512,0.004253472222222222,0.004210069444444444,0.008463541666666666,0.0
1028,3170IIZTCO,0.0013368055555555555,0.0012152777777777778,0.0025520833333333333,0.0
1029,317151IXZQ,8.680555555555556e-05,0.0,8.680555555555556e-05,0.0
1030,3171J35G,0.00023561507936507937,0.00013640873015873016,0.0003720238095238095,0.0
1031,3171J615DQQ,0.04198314525462963,0.042247178819444446,0.08075267650462963,0.0034776475694444442
1032,3171LG1A,0.0015625,0.0014756944444444444,0.0030381944444444445,0.0
1033,3172CO9XEEJF0KH,0.0033854166666666668,0.0033564814814814816,0.006741898148148148,0.0
1034,3172GKK86O5UX17,0.0008060515873015873,0.0007564484126984127,0.0015625,0.0
1035,3172V4IQMP,0.014507378472222223,0.014898003472222223,0.029405381944444444,0.0
1036,3172Y69YA,8.680555555555556e-05,8.680555555555556e-05,0.00017361111111111112,0.0
1037,317393ATYLUH,0.000925925925925926,0.0005497685185185186,0.0014756944444444444,0.0
1038,3173LI43,0.007673611111111111,0.0077083333333333335,0.015381944444444445,0.0
1039,3173S,0.008246527777777778,0.00920138888888889,0.017447916666666667,0.0
1040,3173W60II0,0.02056502525252525,0.02062026515151515,0.041185290404040405,0.0
1041,31741TISRSYIRZ6,0.02159375,0.021482638888888888,0.043076388888888886,0.0
1042,31743K2ZBFBZHD,8.680555555555556e-05,0.00013020833333333333,0.00021701388888888888,0.0
1043,3174BHA1KYX,0.002573889900546295,0.002573889900546295,0.00514777980109259,0.0
1044,3174BQYJO3Q,0.00625,0.0050347222222222225,0.011284722222222222,0.0
1045,3174N7H63O4TJT4,0.0,8.680555555555556e-05,8.680555555555556e-05,0.0
1046,3174O,0.012927350427350427,0.012880608974358974,0.0258079594017094,0.0
1047,3174Y4YTQD,5.787037037037037e-05,0.00028935185185185184,0.00034722222222222224,0.0
1048,3175BH8DME640,0.0030381944444444445,0.002806712962962963,0.005844907407407407,0.0
1049,3175L3LTX8469ZD,0.0027157738095238094,0.0029637896825396824,0.005679563492063492,0.0
1050,3175LD,0.00043402777777777775,0.0003761574074074074,0.0008101851851851852,0.0
1051,3175LD1CLS,0.00017361111111111112,0.0,0.00017361111111111112,0.0
1052,3175QS1M,8.680555555555556e-05,8.680555555555556e-05,0.00017361111111111112,0.0
1053,3175X0UH,0.0014362373737373737,0.0015625,0.0029987373737373735,0.0
1054,317610,0.0016493055555555556,0.0016493055555555556,0.003298611111111111,0.0
1055,31764H7C6UZZZS,0.001222511574074074,0.001077835648148148,0.0023003472222222223,0.0
1056,3176R5W,0.002951388888888889,0.002864583333333333,0.005815972222222222,0.0
1057,3176XMAWTR5BRF9,0.0016493055555555556,0.0012152777777777778,0.002864583333333333,0.0
1058,3176XZQHPG73E2,0.00017361111111111112,0.00026041666666666666,0.00043402777777777775,0.0
1059,31776XGNJ,0.01830150462962963,0.018334056712962964,0.03658492476851852,5.063657407407407e-05
1060,3177I25,0.00017361111111111112,8.680555555555556e-05,0.00026041666666666666,0.0
1061,31780ALAYGX,0.00026041666666666666,0.00026041666666666666,0.0005208333333333333,0.0
1062,3178F6L,5.787037037037037e-05,0.00011574074074074075,0.00017361111111111112,0.0
1063,3178K6OGC4GQLJ6,0.0,8.680555555555556e-05,8.680555555555556e-05,0.0
1064,3178KGRSY,0.0007884837962962964,0.0007884837962962964,0.0015769675925925927,0.0
1065,3178Q7VJ50QPHD,0.00034722222222222224,0.00034722222222222224,0.0006944444444444445,0.0
1066,31794PU4EQ28XW5,0.0017903645833333333,0.002202690972222222,0.003993055555555555,0.0
1067,3179GXZ,8.680555555555556e-05,0.0,8.680555555555556e-05,0.0
1068,317A1M4BV,0.0005482456140350877,0.00041118421052631577,0.0009594298245614035,0.0
1069,317A5F,0.012673611111111111,0.01189236111111111,0.02456597222222222,0.0
1070,317A5UKG39E,0.00034722222222222224,0.00034722222222222224,0.0006944444444444445,0.0
1071,317A6NUOEF9PGRD,0.00043402777777777775,0.0006076388888888889,0.0010416666666666667,0.0
1072,317ABX6U3XJM507,0.031004050925925924,0.03062789351851852,0.06163194444444445,0.0
1073,317APF,0.0007118055555555556,0.0006770833333333334,0.001388888888888889,0.0
1074,317B7WY5EC,0.00043402777777777775,0.0005787037037037037,0.0010127314814814814,0.0
1075,317B871EN5UZC,0.003081597222222222,0.0028428819444444443,0.0059244791666666664,0.0
1076,317BBYZ24KYVRWA,0.00030381944444444445,0.0005121527777777778,0.0008159722222222223,0.0
1077,317BG5GJJG,0.00043402777777777775,0.00078125,0.0012152777777777778,0.0
1078,317CCUXE,0.00010540674603174604,6.200396825396825e-05,0.0001674107142857143,0.0
1079,317CJBWMM6OKXZ,0.0020474788647342995,0.001949350845410628,0.003996829710144928,0.0
1080,317CJMKNXXXFM,0.01015625,0.010243055555555556,0.020399305555555556,0.0
1081,317CKLB6HJX,0.010416666666666666,0.013020833333333334,0.0234375,0.0
1082,317CWPZ,0.003168402777777778,0.002756076388888889,0.0059244791666666664,0.0
1083,317E8R36P9JSH,0.005249669312169312,0.005113260582010582,0.010362929894179895,0.0
1084,317FJ9T8,0.004861111111111111,0.004904513888888889,0.009765625,0.0
1085,317G96J,0.13236038773148148,0.13130063657407406,0.2450665509259259,0.01859447337962963
1086,317GB07YBDNGT,0.002455357142857143,0.0024677579365079364,0.004923115079365079,0.0
1087,317GG8EOFE,0.006163194444444444,0.007421875,0.013585069444444445,0.0
1088,317GHS5YX8B1,0.004962384259259259,0.005121527777777778,0.010083912037037037,0.0
1089,317GKNEVBTSXKC,0.00017361111111111112,0.00017361111111111112,0.00034722222222222224,0.0
1090,317H1S,0.0030381944444444445,0.0035590277777777777,0.006597222222222222,0.0
1091,317HA6OJG,0.00026041666666666666,0.00043402777777777775,0.0006944444444444445,0.0
1092,317HIUYUNIUD,0.009129050925925926,0.008738425925925926,0.017867476851851853,0.0
1093,317I4YFV2M4,0.0002314814814814815,0.00017361111111111112,0.0004050925925925926,0.0
1094,317IAESHE9,0.0016059027777777777,0.0015190972222222222,0.003125,0.0
1095,317IBOURGL5F,0.00017361111111111112,8.680555555555556e-05,0.00026041666666666666,0.0
1096,317J20,0.0025978150406504065,0.002695206639566396,0.005293021680216802,0.0
1097,317JCLD,2.8935185185185186e-05,5.787037037037037e-05,8.680555555555556e-05,0.0
1098,317K92UXSHZ1,0.004490214646464647,0.004569128787878788,0.009059343434343434,0.0
1099,317KEQO0,0.0002232142857142857,0.00021081349206349207,0.00043402777777777775,0.0
1100,317KI18MQOVUEE,0.0033506944444444443,0.00328125,0.006631944444444445,0.0
1101,317KS7GFJ9KLPL,0.00037450396825396826,0.00036706349206349205,0.0007415674603174603,0.0
1102,317L4PY3CV,0.0023075810185185187,0.0025535300925925925,0.004861111111111111,0.0
1103,317L4YCNGIY9OM,0.0027379918981481483,0.0027162905092592594,0.005454282407407408,0.0
1104,317LAVZC799,0.006850694444444445,0.006861111111111111,0.013711805555555555,0.0
1105,317M04ICA,4.340277777777778e-05,4.340277777777778e-05,8.680555555555556e-05,0.0
1106,317M75Q,0.00078125,0.0006944444444444445,0.0014756944444444444,0.0
1107,317MF0,0.0011962890625,0.0012451171875,0.00244140625,0.0
1108,317MSPPZKCH,0.020027281746031748,0.019915674603174602,0.039942956349206346,0.0
1109,317N82I6003LU,0.010810908564814814,0.011320891203703705,0.022131799768518517,0.0
1110,317NAPS5VLOP,0.0019097222222222222,0.0019965277777777776,0.00390625,0.0
1111,317NO,0.0016493055555555556,0.0013020833333333333,0.002951388888888889,0.0
1112,317O28L11,0.0005208333333333333,0.0004836309523809524,0.0010044642857142856,0.0
1113,317OB5J,0.006727430555555556,0.006831597222222222,0.013559027777777777,0.0
1114,317OEWRZLY,0.001736111111111111,0.0022569444444444442,0.003993055555555555,0.0
1115,317PD,0.011091624149659864,0.011003047052154194,0.022062783446712017,3.188775510204082e-05
1116,317PIV,0.001105324074074074,0.0011631944444444443,0.0022685185185185187,0.0
1117,317Q4,0.00026041666666666666,8.680555555555556e-05,0.00034722222222222224,0.0
1118,317QCREEHK3R1V,0.0016493055555555556,0.0019097222222222222,0.0035590277777777777,0.0
1119,317QK,0.00026041666666666666,0.00021701388888888888,0.00047743055555555554,0.0
