,Product,Date,account,inv_halflife_min
393,STF,2021-03-26,042WY7UCV,161.91965509942523
394,STF,2021-03-26,12660HNF4CILP1,84.94138509908214
395,STF,2021-03-26,1268,340.33136156583186
396,STF,2021-03-26,126WID,1368.8642327080427
397,STF,2021-03-26,126ZAQ39VIIU,428.7336163100206
398,STF,2021-03-26,554DBL6,100.6932045590027
399,STF,2021-03-28,042WY7UCV,563.3000646609912
400,STF,2021-03-28,12660HNF4CILP1,1919.6670868699607
401,STF,2021-03-28,1268,895.590954946545
402,STF,2021-03-28,126WID,503.3366467994462
403,STF,2021-03-28,126ZAQ39VIIU,172.3839114901114
404,STF,2021-03-28,554DBL6,279.9766648024005
405,STF,2021-03-29,042WY7UCV,198.09119658522945
406,STF,2021-03-29,1265MMDIKQ6M2QH,462.82091863691033
407,STF,2021-03-29,12660HNF4CILP1,87.65825783598957
408,STF,2021-03-29,1268,45.807208751949716
409,STF,2021-03-29,126WID,94.31084399442749
410,STF,2021-03-29,126ZAQ39VIIU,255.3422282306926
411,STF,2021-03-29,554DBL6,284.7298430520895
412,STF,2021-03-30,042WY7UCV,622.1289338639169
413,STF,2021-03-30,12660HNF4CILP1,284.01670028954584
414,STF,2021-03-30,1268,393.44198897833775
415,STF,2021-03-30,126WID,84.52763523950162
416,STF,2021-03-30,126ZAQ39VIIU,201.3790442143399
417,STF,2021-03-30,554DBL6,96.83785823833212
418,STF,2021-03-31,042WY7UCV,64.53916958592424
419,STF,2021-03-31,12660HNF4CILP1,556.4614756158469
420,STF,2021-03-31,1268,103.02693917149074
421,STF,2021-03-31,126WID,101.70163967143513
422,STF,2021-03-31,126ZAQ39VIIU,222.3232263546572
423,STF,2021-03-31,554DBL6,343.5961105287325
424,STF,2021-04-01,042WY7UCV,557.3832888457852
425,STF,2021-04-01,12660HNF4CILP1,475.3589147325244
426,STF,2021-04-01,1268,200.141347255372
427,STF,2021-04-01,126WID,68.71497331590527
428,STF,2021-04-01,126ZAQ39VIIU,239.09430329409147
429,STF,2021-04-01,554DBL6,222.63693844418623
430,STF,2021-04-02,042WY7UCV,94.72609111660043
431,STF,2021-04-02,1265MMDIKQ6M2QH,254.93666681574743
432,STF,2021-04-02,12660HNF4CILP1,133.6392648017722
433,STF,2021-04-02,1268,1353.4160265159544
434,STF,2021-04-02,126WID,454.1819204640026
435,STF,2021-04-02,126ZAQ39VIIU,329.5303515886419
436,STF,2021-04-02,554DBL6,73.80863065112926
437,STF,2021-04-04,042WY7UCV,154.2459590387064
438,STF,2021-04-04,12660HNF4CILP1,92.43938524976075
439,STF,2021-04-04,1268,159.1070162368763
440,STF,2021-04-04,126WID,51.31872498061304
441,STF,2021-04-04,126ZAQ39VIIU,252.8370002881545
