,account,externalSymbol,date,num_trades,NetPosition,StdInventory,eod,quantity
208,168E6IZWVPG2,TYGH21,20210315,155.0,0.07142857142857142,0.054925182460884965,40.0,560.0
209,0360TE,TYGH21,20210315,168.0,0.0,0.030992871627001102,0.0,318.0
210,353GWHSUCM3WJQ,TYGH21,20210315,570.0,0.05931321540062435,0.054659710424645847,114.0,1922.0
211,082R1U1DVMV5T,TYGH21,20210315,1.0,1.0,0.6032822584433164,2.0,2.0
212,317ABX6U3XJM507,TYGH21,20210315,400.0,0.014184397163120567,0.020761308217623505,-20.0,1410.0
213,1687K0IA8VFC,TYGH21,20210315,16.0,0.11764705882352941,0.17042385822406478,4.0,34.0
214,472QA,TYGH21,20210315,34.0,0.1111111111111111,0.0884508263988636,-7.0,63.0
215,028C2PZD1K8G,TYGH21,20210315,234.0,0.09942857142857142,0.07560221760520958,-87.0,875.0
216,118N6Q6I,TYGH21,20210315,55.0,0.2727272727272727,0.18574651416706403,48.0,176.0
217,3500L84FE2L,TYGH21,20210315,83.0,0.053763440860215055,0.03639536214342166,-10.0,186.0
218,3171J615DQQ,TYGH21,20210315,300.0,0.06201550387596899,0.04375033691592066,-48.0,774.0
219,268VJNHG5,TYGH21,20210315,125.0,0.2485981308411215,0.19665535283471583,-133.0,535.0
220,082COKKVLHCWGZ9,TYGH21,20210315,60.0,0.18356164383561643,0.12728723036182776,-67.0,365.0
221,472VI,TYGH21,20210315,51.0,0.5463917525773195,0.4028285011965535,53.0,97.0
222,455BG,TYGH21,20210315,221.0,0.16913946587537093,0.10755287299110311,228.0,1348.0
223,197BM7,TYGH21,20210315,343.0,0.010619469026548672,0.02543139750301356,12.0,1130.0
224,3003YB,TYGH21,20210315,161.0,0.07032590051457976,0.04721301780794255,41.0,583.0
225,4727,TYGH21,20210315,7.0,0.6666666666666666,0.44494546164071874,8.0,12.0
226,455VDM,TYGH21,20210315,179.0,0.040892193308550186,0.030640046999253677,-33.0,807.0
227,268ATI,TYGH21,20210315,533.0,0.07477567298105683,0.05602749203575879,150.0,2006.0
228,283TB,TYGH21,20210315,59.0,0.13592233009708737,0.09364241327567513,28.0,206.0
229,47148XKONT,TYGH21,20210315,853.0,0.030369961347321922,0.026925087400235487,-110.0,3622.0
230,168H3AQEKAX0,TYGH21,20210315,3.0,0.6923076923076923,0.4457010739798487,-9.0,13.0
231,300M8,TYGH21,20210315,187.0,0.08108108108108109,0.05247737371149699,60.0,740.0
232,317097ROF6FR512,TYGH21,20210315,94.0,0.12131147540983607,0.08665889890959316,-37.0,305.0
233,317CJBWMM6OKXZ,TYGH21,20210315,114.0,0.06484641638225255,0.0699741129008249,-19.0,293.0
234,3007JZ73GVN0UUH,TYGH21,20210315,30.0,0.08860759493670886,0.0670496725821997,7.0,79.0
235,1686CR10PDC,TYGH21,20210315,234.0,0.08223684210526316,0.05560243314256475,50.0,608.0
236,118LO6,TYGH21,20210315,6.0,0.07692307692307693,0.07431779966728623,1.0,13.0
237,168LHSI,TYGH21,20210315,17.0,0.21212121212121213,0.13799390403122963,7.0,33.0
238,16851A,TYGH21,20210315,11.0,0.4666666666666667,0.36546265809036804,-7.0,15.0
239,036DF9GY3EKT,TYGH21,20210315,204.0,0.0513595166163142,0.03953381575187634,-17.0,331.0
240,1682IES,TYGH21,20210315,124.0,0.037900874635568516,0.027122197181311522,-13.0,343.0
241,317KS7GFJ9KLPL,TYGH21,20210315,481.0,0.059850374064837904,0.04475257350416517,48.0,802.0
242,036QBCZ6DGD,TYGH21,20210315,2.0,1.0,0.6464599351554542,2.0,2.0
243,082G3W0S18O,TYGH21,20210315,459.0,0.001314060446780552,0.013123159250066836,-3.0,2283.0
244,31794PU4EQ28XW5,TYGH21,20210315,121.0,0.033797216699801194,0.027319923951553526,-17.0,503.0
245,694SEJUQGYHWWS3,TYGH21,20210315,2.0,0.0,0.16425736575375485,0.0,4.0
246,460V9,TYGH21,20210315,33.0,0.10909090909090909,0.07129366700656417,-12.0,110.0
247,3870SHGJVWRJXFK,TYGH21,20210315,1.0,1.0,0.6570294630150194,-2.0,2.0
248,081SJFU1JJEV2U,TYGH21,20210315,84.0,0.24705882352941178,0.1625406404394088,63.0,255.0
249,168RH,TYGH21,20210315,16.0,0.2558139534883721,0.16898182897417754,11.0,43.0
250,2837PRRNUFYSYYK,TYGH21,20210315,155.0,0.1794871794871795,0.167997913041099,84.0,468.0
251,082I,TYGH21,20210315,8.0,0.28888888888888886,0.19847471558247903,-13.0,45.0
252,1683D40O,TYGH21,20210315,3.0,0.42857142857142855,0.28307788067893147,3.0,7.0
253,168RYW1X1CQY52,TYGH21,20210315,5.0,0.25,0.16534589566239477,2.0,8.0
254,118T36M91AVOIX,TYGH21,20210315,2.0,0.0,0.0,0.0,4.0
255,082RW2HM,TYGH21,20210315,34.0,0.25,0.16534589566239477,20.0,80.0
256,118AVE4Q,TYGH21,20210315,3.0,0.2,0.20476527403640796,-1.0,5.0
257,350YQS8H0,TYGH21,20210315,193.0,0.08374384236453201,0.057359044162872394,-34.0,406.0
258,3870UF4SHDALIG,TYGH21,20210315,10.0,0.125,0.09064287552831349,-2.0,16.0
259,387PA,TYGH21,20210315,3.0,0.3333333333333333,0.2722436344612239,2.0,6.0
260,626YO2YN,TYGH21,20210315,2.0,1.0,0.6613835826495791,-3.0,3.0
261,1683PXFYD5MF,TYGH21,20210315,1.0,1.0,0.6613835826495791,2.0,2.0
262,300KR,TYGH21,20210315,1.0,1.0,0.6613835826495791,-2.0,2.0
263,626Q,TYGH21,20210315,2.0,1.0,0.6613835826495791,3.0,3.0
264,626OQ8O0FTM3YC9,TYGH21,20210315,1.0,1.0,0.6613835826495791,-2.0,2.0
265,1686BMD,TYGH21,20210315,930.0,0.0234093637454982,0.01790958880387199,78.0,3332.0
266,317XS6V4OK,TYGH21,20210315,110.0,0.050359712230215826,0.03429097364559271,14.0,278.0
267,455P6KEV6WQ8CB,TYGH21,20210315,36.0,0.45,0.396466129889841,-72.0,160.0
268,300GW0,TYGH21,20210315,2.0,0.5,0.33069179132478954,2.0,4.0
269,300BTER5E,TYGH21,20210315,113.0,0.08361204013377926,0.056850314324598646,-25.0,299.0
270,038LAZ3LT,TYGH21,20210315,833.0,0.011205247335337523,0.018046263587487107,-41.0,3659.0
271,300L1SVNZS,TYGH21,20210315,19.0,0.07142857142857142,0.06711599866210938,-2.0,28.0
272,126KEM2QSNBA,TYGH21,20210315,143.0,0.017543859649122806,0.017433536335344918,-5.0,285.0
273,578PA0F0NE9,TYGH21,20210315,1.0,1.0,0.6639823493704824,3.0,3.0
274,090RABQGK2AF,TYGH21,20210315,397.0,0.043132803632236094,0.048384625789100986,-76.0,1762.0
275,472YHHUW,TYGH21,20210315,16.0,0.21739130434782608,0.14973152478830246,5.0,23.0
